n,event.id,EVENTMSGTYPE,ball_possession,quarter,action,comment
1,4,2,away,1,2,
2,6,2,home,1,2,
3,8,2,away,1,2,
4,10,1,home,1,2,
5,11,2,away,1,2,
6,15,1,away,1,2,
7,16,1,home,1,2,
8,17,2,away,1,2,
9,19,2,away,1,2,
10,22,1,away,1,1,
11,23,2,home,1,1,
12,25,2,away,1,2,
13,37,1,home,1,1,
14,38,1,away,1,2,
15,39,2,home,1,2,
16,41,2,home,1,1,
17,43,1,away,1,1,
18,44,2,home,1,18,pe
19,46,1,home,1,18,
20,47,2,away,1,34,e
21,51,2,away,1,35,e
22,58,1,home,1,1,
23,59,2,away,1,2,
24,60,2,away,1,2,
25,69,2,away,1,1,
26,71,2,home,1,1,
27,73,2,away,1,2,
28,75,2,home,1,2,
29,77,1,away,1,1,
30,83,2,home,1,1,
31,86,2,away,1,12,
32,88,1,home,1,1,e
33,96,1,home,1,2,
34,97,2,away,1,2,
35,100,2,away,1,2,
36,102,1,home,1,1,e
37,103,1,away,1,6,e
38,104,1,home,1,3,
39,112,2,away,1,3,
40,115,2,away,1,1,
41,117,2,home,1,2,
42,119,1,away,1,2,
43,120,1,home,1,1,
44,121,2,away,1,19,
45,131,2,home,2,1,
46,140,2,home,2,5,
47,142,2,away,2,2,
48,144,1,home,2,2,
49,145,1,away,2,2,
50,146,2,home,2,2,
51,148,1,away,2,2,
52,157,2,home,2,2,
53,159,1,away,2,1,
54,163,2,home,2,1,
55,168,2,away,2,1,
56,177,1,home,2,1,
57,178,2,away,2,2,e
58,180,2,home,2,1,
59,184,2,home,2,1,
60,186,1,away,2,2,
61,196,2,away,2,1,
62,198,1,home,2,2,
63,199,1,away,2,2,e
64,200,1,home,2,1,
65,215,2,home,2,11,pe
66,217,1,away,2,1,
67,218,2,home,2,2,
68,220,2,away,2,2,e
69,222,2,away,2,2,
70,224,2,away,2,3,not_sure
71,229,2,away,2,13,
72,231,2,away,2,14,
73,234,2,away,2,2,
74,242,2,home,2,1,
75,246,1,home,2,2,
76,247,2,away,2,2,
77,254,2,away,2,1,
78,267,1,away,2,2,pe
79,268,2,home,2,2,
80,269,1,home,2,2,
81,271,2,away,2,2,
82,273,2,home,2,3,
83,275,2,away,2,NA,e
84,277,2,home,2,NA,e
85,283,1,away,3,3,
86,289,2,away,3,2,
87,291,2,home,3,2,
88,293,2,away,3,2,
89,295,1,home,3,2,
90,296,1,away,3,2,pe
91,297,2,home,3,2,
92,299,1,home,3,2,
93,301,1,home,3,4,
94,302,2,away,3,2,
95,306,2,away,3,1,
96,308,1,away,3,2,
97,309,2,home,3,2,
98,312,2,away,3,1,
99,314,2,away,3,2,
100,316,2,home,3,2,maybe3
101,318,1,home,3,3,maybe3
102,323,1,away,3,NA,e
103,324,2,home,3,12,pe
104,326,2,away,3,2,
105,328,1,away,3,2,
106,329,2,home,3,2,
107,331,2,away,3,2,
108,333,2,home,3,2,
109,335,2,away,3,2,
110,343,1,home,3,3,maybe2
111,344,2,away,3,1,
112,345,1,away,3,1,
113,347,2,home,3,2,
114,349,2,away,3,2,
115,351,2,home,3,2,
116,353,2,away,3,2,
117,355,1,home,3,2,
118,356,2,away,3,2,
119,358,2,home,3,2,
120,360,2,away,3,2,
121,377,1,home,3,1,
122,378,2,away,3,10,pe
123,380,2,away,3,10,pe
124,383,2,away,3,2,
125,387,2,home,3,2,
126,389,2,away,3,2,
127,391,1,away,3,2,
128,392,2,home,3,NA,
129,397,1,away,4,1,
130,398,1,home,4,2,
131,405,1,home,4,2,
132,407,2,home,4,2,pe
133,409,2,away,4,3,
134,415,2,home,4,1,
135,417,2,away,4,2,
136,419,2,away,4,2,
137,421,2,home,4,2,
138,423,2,away,4,1,
139,428,1,away,4,2,
140,432,2,home,4,2,
141,439,2,home,4,1,
142,441,2,away,4,7,
143,443,1,home,4,2,
144,444,2,away,4,2,
145,446,1,away,4,3,
146,461,2,away,4,2,
147,464,1,home,4,16,
148,471,1,away,4,1,
149,472,2,home,4,2,
150,474,2,away,4,2,
151,476,1,home,4,2,
152,477,1,away,4,1,
153,478,2,home,4,2,
154,479,2,home,4,3,
155,482,2,away,4,2,
156,486,1,home,4,7,
157,488,2,away,4,2,
158,489,2,away,4,3,
159,492,1,home,4,2,
160,493,1,away,4,2,
161,494,2,home,4,2,
162,496,2,home,4,3,
163,498,1,away,4,2,
164,504,2,away,4,1,
165,505,1,away,4,2,
166,507,2,home,4,2,
167,515,1,home,4,2,
168,516,1,away,4,2,
169,517,1,home,4,2,
170,519,2,away,4,1,
171,521,2,home,4,2,
172,542,2,away,4,NA,
173,562,2,away,4,NA,
